Which is the capital of india?,New Delhi,Banglore,Mumbai,chennai,1,
Which is the capital of karnataka?,New Delhi,Banglore,Mumbai,chennai,2,
which is the capital of Maharastra?,New Delhi,Banglore,Mumbai,chennai,3,
Which is the capital of Tamil Nadu?,New Delhi,Banglore,Mumbai,chennai,4,
Which is the capital of WestBengal?,Kolkata,Thiruvanthpuram,Hyderabad,lucknow,1,
Which is the capital of Kerala?,Kolkata,Thiruvanthpuram,Hyderabad,lucknow,2,
Which is the capital of AndraPradesh?,Kolkata,Thiruvanthpuram,Amaravathi,lucknow,3,
Which is the capital of UttarPradesh?,Kolkata,Thiruvanthpuram,Hyderabad,lucknow,4,
Which is the capital of Gujrath?,GandhiNagar,Jaipur,Patna,Dehradun,1,
Which is the capital of Rajasthan?,GandhiNagar,Jaipur,Patna,Dehradun,2,
Which is the capital of Bihar?,GandhiNagar,Jaipur,Patna,Dehradun,3,
Which is the capital of Uttarakand?,GandhiNagar,Jaipur,Patna,Dehradun,4,
Which is the capital of ArunachalPradesh?,Itanagar,Raipur,Panaji,Chandigarh,1,
Which is the capital of Chhtishgarh?,Itanagar,Raipur,Panaji,Chandigarh,2,
Which is the capital of Goa?,Itanagar,Raipur,Panaji,Chandigarh,3,
Which is the capital of Harayana?,Itanagar,Raipur,Panaji,Chandigarh,4,
Which is the capital of HimachalPradesh?,Shimla,Ranchi,Bophal,Imphal,1,
Which is the capital of Jarkhand?,Shimla,Ranchi,Bophal,Imphal,2,
Which is the capital of MadhyaPradesh?,Shimla,Ranchi,Bophal,Imphal,3,
Which is the capital of Manipur?,Shimla,Ranchi,Bophal,Imphal,4,
Which is the capital of Meghalaya?,Shillong,Aizawl,Kohima,Bhubaneshwar,1,
Which is the capital of Mizoram?,Shillong,Aizawl,Kohima,Bhubaneshwar,2,
Which is the capital of MegNagalandhalaya?,Shillong,Aizawl,Kohima,Bhubaneshwar,3,
Which is the capital of Odisha?,Shillong,Aizawl,Kohima,Bhubaneshwar,4,
Which is the capital of Punjab?,Chandigarh,Gangtok,Hyderabad,Agarthala,1,
Which is the capital of Sikkim?,Chandigarh,Gangtok,Hyderabad,Agarthala,2,
Which is the capital of Telengana?,Chandigarh,Gangtok,Hyderabad,Agarthala,3,
Which is the capital of Tripura?,Chandigarh,Gangtok,Hyderabad,Agarthala,4,